什么样的路不能走?... 答案：电路
小波比的一举一动都离不开绳子,为什么? 答案：小波比是木偶,(这都不懂)
小王是一名优秀士兵，一天他在站岗值勤时，明明看到有敌人悄悄向他摸过来，为什么他却睁一只眼闭一只眼？  答案：他正在瞄准
一学生把硬币抛向空中：正面朝上就去看电影，背面朝上就去打台球，如果硬币立起来，就他妈去学习。  答案：去学习
两只狗赛跑，甲狗跑得快，乙狗跑得慢，跑到终点时，哪只狗出汗多?  答案：狗不会出汗
有种动物，大小像只猫，长相又像虎，这是什么动物?  答案：小老虎) 7
猴子每分钟能掰一个玉米，在果园里，一只猴子5分钟能掰几个玉米?  答案：没掰到一个
一溜（提示：注意谐音)三棵树，要拴10匹马，只能拴单不能拴双?  答案：请问怎样栓
世上什么东西比天更高?  答案：心比天高
什么贵重的东西最容易不翼而飞?  答案：人造卫星
三个金鑫，三个水叫淼，三个人叫众，那么三个鬼应该叫什么?  答案：叫救命
胖妞生病时，最怕别人来探病时说什么?  答案：多保重身体
什么东西比乌鸦更讨厌?  答案：乌鸦嘴
孔子是我国最伟大的什么家?  答案：老人家
睡美人最怕的是什么?  答案：失眠
小明对小华说：我可以坐在一个你永远也坐不到的地方！他坐在哪里?  答案：小华的身上
不管长得多像的双胞胎,都会有人分得出来,这人是谁? 答案：他们自己
世界上除了火车啥车最长?  答案：塞车
有一个人一年才上一天班又不怕被解雇他是谁?  答案：圣诞老人
拿鸡蛋撞石头鸡蛋为何不烂?  答案：拿着鸡蛋撞石头当然不会烂
哪项比赛是往后跑的?  答案：拔河
你的爸爸的妹妹的堂弟的表哥的爸爸与你叔叔的儿子的嫂子是什么关系?  答案：亲戚关系
牙医靠什么吃饭?  答案：嘴巴
明明是个近视眼，也是个出名的馋小子，在他面前放一堆书，书后放一个苹果，你说他会先看什么?  答案：什么都看不见
一个不会游泳的人掉进了水里却没有淹死，为什么?  答案：穿着救生衣
用什么可以解开所有的谜?  答案：迷底
两只狗赛跑，甲狗跑得快，乙狗跑得慢，跑到终点时，哪只狗出汗多?  答案：狗不会出汗
楚楚的生日在三月三十日，请问是哪年的三月三十日?  答案：每年的三月三十日
哪儿的海不产鱼? 答案：辞海
迄今为止，你所见到的最大的影子是什么?  答案：黑夜，哪是地球的影子
有一块天然的黑色的大理石，在九月七号这一天，把它扔到钱塘江里会有什么现象发生？  答案：沉到江底
冰变成水最快的方法是什么? 答案：去掉冰字哪二点
小王是一名优秀士兵，一天他在站岗值勤时，明明看到有敌人悄悄向他摸过来，为什么他却睁一只眼闭一只眼？ 答案：因为他正在瞄准
有一个人，他是你父母生的，但他却不是你的兄弟姐妹，他是谁？ 答案：你自己
什么东西天气越热，它爬的越高？ 答案：漫度计
什么东西在倒立之后会增加一半？  答案：数目字6
为什么人们要到市场上去？  答案：因为市场不能来
为什么青蛙可以跳得比树高？  答案：树不会跳
纸上写着某一份命令。但是，看懂此文字的人，却绝对不能宣读命令。那么，纸上写的是什么呢？  答案：级上写着，不要念出此文
一架空调器从楼掉下来会变成啥器？  答案：凶器
为什么现代人越来越言而无信? 答案：打电话当然比写信方便
两个人住在一个胡同里，只隔几步路，他们同在一个工厂上班，但每天出门上班，却总一个向左，一个向右，为什么? 答案：他们住对门
网要什么时候可以提水? 答案：当水变成冰时，用网当然可以提
全世界死亡率最高的地方在哪里?  答案：在床上
你能做、我能做、大家都能做，一个人能做、两个人不能一起做。这是做什么?  答案：做梦
一个离过五十次婚的女人，应该怎么形容她? 答案：前功，尽弃
一个离过五十次婚的女人，应该怎么形容她? 答案：前公尽弃
三个孩子吃三个饼要用3分钟，九十个孩子九十个饼要用多少时间? 答案：也是三分钟，九十个孩子同时吃
什么样的轮子只转不走? 答案：风车的轮子
地球上什么东西每天要走的距离最远?  答案：地球
中国人最早的姓氏是什么? 答案：姓善
铁放到外面要生锈，那金子呢?  答案：会被偷走
在什么时候1+2不等于3?  答案：算错了的时候
两个人住在一个胡同里，只隔几步路，他们同在一个工厂上班，但每天出门上班，却总一个向左，一个向右，为什么?  答案：他们住对门
三个孩子吃三个饼要用3分钟，九十个孩子九十个饼要用多少时间?  答案：也是三分钟，九十个孩子同时吃
什么样的轮子只转不走? 答案：风车的轮子
什么时候最好还是要高高举起你的双手好些? 答案：当有人用枪指着你的头的时候
小明家住在五楼，可是电梯坏了，他自己也没有走楼梯，他却上了五楼回到家里，这可能吗? 答案：妈妈背着他上的楼
地球上什么东西每天要走的距离最远?  答案：地球（地球每天自转一周为四百万公里)
一根又黑、又粗、又硬的棍子插进洞里，感觉暖烘烘的,等到抽出来以后，客人就要付钱啦（一种行业) 答案：烤甘蔗
舔也硬，不舔也硬，想舒服睡，先搓搓它（人身上的东西) 答案：牙齿
一种东西，东方人的短，西方人的长，结婚后女的就可以用男的这东西，和尚有但是不用它 答案：人的，姓
什么东西最硬？女孩子最喜欢，特别是结了婚的女人，更是爱死了。  答案：钻石
阿明给蚊子咬了一大一小的包，请问较大的包，是公蚊子咬的，还是母蚊子咬的？  答案：公蚊是不咬人的
在一间房子里,有油灯,暖炉及壁炉.现在,想要将三个器具点燃,可是你只有一根火柴.请问首先应该点哪一样?  答案：火柴
一间牢房中关了两名犯人，其中一个因偷窃，要关一年，另一个是强盗杀人犯，却只关两个星期，为什么？  答案：因为杀人犯要拉去填命
两个人分五个苹果，怎么分最公平？  答案：榨成果汁
小张开车，不小心撞上电线杆发生车祸，警察到达时车上有个死人，小张说这与他无关，警察也相信了，为什么？ 答案：小张开灵车
一只凶猛的饿猫，看到老鼠，为何拔腿就跑？  答案：跑去追老鼠
动物园中，大象鼻子最长，鼻子第二长的是什么？ 答案：小象
一个人在沙滩上行走，回头为什么看不见自己的脚印？ 答案：倒着走
什么动物你打死了它，却流了你的血？  答案：蚊子
两对父子去买帽子，为什么只买了三顶？ 答案：三代人
小红和小丽是同学，也住在同一条街，她们总是一起上学，可是每天一出家门就一个向左走，一个向右走，这是怎么回事呢？  答案：他们的家门是相对着的
在一次监察严密的考试中，有两个学生交了一模一样的考卷。主考官发现后，却并没有认为他们作弊，这是什么原因？ 答案：二张考卷交得都是白卷
张大妈整天说个不停，可有一个月她说话最少，那是哪个月？ 答案：二月份
有一种地方专门教坏人，但没有一个警察敢对它采取行动加以扫荡。这是什么地方  答案：看守所
报纸上登的消息不一定百分之百是真的，但什么消息绝对假不了？ 答案：报纸上的年、月、日
早晨醒来，每个人都会去做的第一件事是什么？ 答案：睁眼
如果你有一只下金蛋的母鸡，你该怎么办？ 答案：不要再做梦了
一架飞机坐满了人，从万米高空落下坠毁，为什么却一个伤者也没有？ 答案：没有伤者，都摔死了
要想使梦成为现实，我们干的第一件事会是什么？ 答案：醒来
什么东西人们都不喜欢吃?  答案：吃亏
别人跟阿丹说她的衣服怎么没衣扣，她却不在乎，为什么？  答案：因为他的衣服只有拉链没有扣子
裤裆里放鞭炮-----打一军事用品 答案：炸弹
避孕套----打一地名 答案：包头
小刘是个很普通的人，为什么竟然能一连十几个小时不眨眼?  答案：睡觉的时候
情人卡、生日卡、大大小小的卡，到底要寄什么卡给女人，最能博得她的欢心呢?  答案：信用卡
小王走路从来脚不沾地，这是为什么?  答案：因为穿着鞋子
什么地方开口说话要付钱?  答案：打电话
冬冬的爸爸牙齿非常好，可是他经常去口腔医院，为什么?  答案：因为他是牙科医生
盖楼要从第几层开始盖?  答案：是从地基开始的
为什么大雁秋天要飞到南方去?  答案：如果走，哪太慢了
什么门永远关不上? 答案：足球门
什么东西比乌鸦更讨厌？ 答案：乌鸦嘴
女人翻跟头。---打一外国城市名  答案：巴比伦
有一块天然的黑色的大理石，在九月七号这一天，把它扔到钱塘江里会有什么现象发生？ 答案：沉到江底
